track_id,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,isrc
0AIpGG5dxEgnAymhdJRSZ0,0.0203,0.813,0.406,0.392,9,0.0757,-12.626,1,0.0662,122.658,0.755,GBCEL1100251
7nCONy10IHp7XD3oYZ0lcx,0.0481,0.603,0.944,0.0,11,0.342,-3.626,0,0.347,130.035,0.418,USSM11200908
3XdjmYHdNZkuN6FML8sTjH,0.0112,0.708,0.694,0.766,10,0.179,-8.094,1,0.0313,139.988,0.458,QM6N22162303
6tZ3IrSvw2VEAEMJfGS7f9,0.0044,0.663,0.932,0.0232,11,0.299,-4.408,1,0.138,173.962,0.741,GBVPL1900060
7oDDV1cal0M0RIjr4HuuJ9,0.000892,0.658,0.475,0.0194,4,0.105,-12.688,1,0.033,125.747,0.461,GBAFL9700102
0o2JLyPbVzGDVGSZ3MhPb7,0.00258,0.292,0.747,0.0105,7,0.28,-6.334,1,0.0445,170.8,0.377,DGA0P2468758
6EjGLBBBuEkjQniYBeDN7E,6.25e-05,0.532,0.944,0.492,7,0.0717,-3.032,1,0.0932,134.675,0.768,SE5AJ1600453
3yWuTOYDztXjZxdE2cIRUa,0.0784,0.806,0.819,0.0,4,0.0371,-5.033,0,0.0384,124.994,0.802,USUG12506438
7b2QNwTvP4QDP1MBn887AW,0.267,0.69,0.731,0.0116,2,0.394,-9.639,0,0.0293,137.994,0.368,GBAYE2501226
0bxPRWprUVpQK0UFcddkrA,0.295,0.572,0.598,0.0,1,0.12,-7.189,1,0.0564,135.578,0.498,USAT22504344
04a44cx2PJthIbN2aLMXhl,0.206,0.623,0.705,0.0,8,0.273,-5.036,0,0.072,83.974,0.492,USRC12502004
7B3BwNecBhKvNwSMOOl7Gk,0.165,0.692,0.399,0.00109,3,0.1,-7.325,0,0.035,137.976,0.411,USSM12501572
4VxTzYm00mg82MuoT35Ja7,0.133,0.861,0.77,0.0,11,0.446,-4.977,0,0.0529,114.958,0.883,USSM12503648
7tMF8Anyf7oIqQZSxE17do,0.0265,0.555,0.702,0.0004,11,0.161,-6.636,0,0.0673,120.023,0.104,USUM72507826
0oxYB9GoOIDrdzniNdKC44,0.00101,0.33,0.532,0.709,2,0.101,-11.764,1,0.0263,93.512,0.218,GBBQY0400041
0ccoGCaOFCxI6pHixrQpKj,0.0258,0.563,0.44,7.62e-06,6,0.227,-10.01,0,0.0608,116.988,0.417,FR8EU2300010
2YuySJd7C2aoBarBP8OvzR,0.608,0.584,0.732,0.39,2,0.137,-7.09,1,0.0565,126.294,0.515,CAN112302020
5bajgZvZb1x9OScsPAC1gB,0.0135,0.452,0.891,4.24e-05,7,0.0786,-6.507,1,0.0605,158.879,0.745,USA2P2405341
3y6DzVmGrnOEftEgBKb3fq,0.000532,0.34,0.877,2.15e-06,7,0.374,-5.27,1,0.0405,161.816,0.497,GBUM72403255
